"table_name";"role_id";"is_active";"is_allowed_create";"is_allowed_update";"is_allowed_delete"
"TSK_AUTH_COMPONENTS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_AUTH_COMPONENTS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_AUTH_COMPONENTS";"DEFAULT_USER";"Y";"";"";""
"TSK_AUTH_COMPONENTS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_AUTH_COMPONENTS";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_AUTH_PAGES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_AUTH_PAGES";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_AUTH_PROCEDURES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_AUTH_PROCEDURES";"BOARDS_MANAGER";"Y";"";"";""
"TSK_AUTH_PROCEDURES";"DEFAULT_USER";"Y";"";"";""
"TSK_AUTH_PROCEDURES";"PROJECT_MANAGER";"Y";"";"";""
"TSK_AUTH_PROCEDURES";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_AUTH_ROLES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_AUTH_ROLES";"BOARDS_MANAGER";"Y";"";"";""
"TSK_AUTH_ROLES";"DEFAULT_USER";"Y";"";"";""
"TSK_AUTH_ROLES";"PROJECT_MANAGER";"Y";"";"";""
"TSK_AUTH_ROLES";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_AUTH_TABLES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_AUTH_TABLES";"BOARDS_MANAGER";"Y";"";"";""
"TSK_AUTH_TABLES";"DEFAULT_USER";"Y";"";"";""
"TSK_AUTH_TABLES";"PROJECT_MANAGER";"Y";"";"";""
"TSK_AUTH_TABLES";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_AUTH_USERS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_AUTH_USERS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_AUTH_USERS";"DEFAULT_USER";"Y";"";"";""
"TSK_AUTH_USERS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_AUTH_USERS";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_BOARDS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_BOARDS";"BOARDS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_BOARDS";"DEFAULT_USER";"Y";"";"";""
"TSK_BOARDS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_BOARDS";"USERS_MANAGER";"Y";"";"";""
"TSK_CATEGORIES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_CATEGORIES";"BOARDS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_CATEGORIES";"DEFAULT_USER";"Y";"";"";""
"TSK_CATEGORIES";"PROJECT_MANAGER";"Y";"";"";""
"TSK_CATEGORIES";"USERS_MANAGER";"Y";"";"";""
"TSK_CLIENTS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_CLIENTS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_CLIENTS";"DEFAULT_USER";"Y";"";"";""
"TSK_CLIENTS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_CLIENTS";"USERS_MANAGER";"Y";"Y";"Y";""
"TSK_COMMITS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_COMMITS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_COMMITS";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_COMMITS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_COMMITS";"USERS_MANAGER";"Y";"";"";""
"TSK_PROJECTS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_PROJECTS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_PROJECTS";"DEFAULT_USER";"Y";"";"";""
"TSK_PROJECTS";"PROJECT_MANAGER";"Y";"Y";"Y";"Y"
"TSK_PROJECTS";"USERS_MANAGER";"Y";"";"";""
"TSK_REPOS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_REPOS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_REPOS";"DEFAULT_USER";"Y";"";"";""
"TSK_REPOS";"PROJECT_MANAGER";"Y";"Y";"Y";"Y"
"TSK_REPOS";"USERS_MANAGER";"Y";"";"";""
"TSK_REPO_ENDPOINTS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_REPO_ENDPOINTS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_REPO_ENDPOINTS";"DEFAULT_USER";"Y";"";"";""
"TSK_REPO_ENDPOINTS";"PROJECT_MANAGER";"Y";"Y";"Y";"Y"
"TSK_REPO_ENDPOINTS";"USERS_MANAGER";"Y";"";"";""
"TSK_ROLES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_ROLES";"USERS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_STATUSES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_STATUSES";"BOARDS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_STATUSES";"DEFAULT_USER";"Y";"";"";""
"TSK_STATUSES";"PROJECT_MANAGER";"Y";"";"";""
"TSK_STATUSES";"USERS_MANAGER";"Y";"";"";""
"TSK_SWIMLANES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_SWIMLANES";"BOARDS_MANAGER";"Y";"Y";"Y";"Y"
"TSK_SWIMLANES";"DEFAULT_USER";"Y";"";"";""
"TSK_SWIMLANES";"PROJECT_MANAGER";"Y";"Y";"";""
"TSK_SWIMLANES";"USERS_MANAGER";"Y";"";"";""
"TSK_TASKS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_TASKS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_TASKS";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_TASKS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_TASKS";"USERS_MANAGER";"Y";"";"";""
"TSK_TASK_CHECKLIST";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_TASK_CHECKLIST";"BOARDS_MANAGER";"Y";"";"";""
"TSK_TASK_CHECKLIST";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_TASK_CHECKLIST";"PROJECT_MANAGER";"Y";"";"";""
"TSK_TASK_CHECKLIST";"USERS_MANAGER";"Y";"";"";""
"TSK_TASK_COMMENTS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_TASK_COMMENTS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_TASK_COMMENTS";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_TASK_COMMENTS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_TASK_COMMENTS";"USERS_MANAGER";"Y";"";"";""
"TSK_TASK_COMMITS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_TASK_COMMITS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_TASK_COMMITS";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_TASK_COMMITS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_TASK_COMMITS";"USERS_MANAGER";"Y";"";"";""
"TSK_TASK_FILES";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_TASK_FILES";"BOARDS_MANAGER";"Y";"";"";""
"TSK_TASK_FILES";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_TASK_FILES";"PROJECT_MANAGER";"Y";"";"";""
"TSK_TASK_FILES";"USERS_MANAGER";"Y";"";"";""
"TSK_USERS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_USERS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_USERS";"DEFAULT_USER";"Y";"";"";""
"TSK_USERS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_USERS";"USERS_MANAGER";"Y";"Y";"Y";""
"TSK_USER_FAV_BOARDS";"ADMIN";"Y";"Y";"Y";"Y"
"TSK_USER_FAV_BOARDS";"BOARDS_MANAGER";"Y";"";"";""
"TSK_USER_FAV_BOARDS";"DEFAULT_USER";"Y";"Y";"Y";"Y"
"TSK_USER_FAV_BOARDS";"PROJECT_MANAGER";"Y";"";"";""
"TSK_USER_FAV_BOARDS";"USERS_MANAGER";"Y";"";"";""
